,right_borders,probs
124,0.024999999,3.6075126e-06
125,0.0252,3.755203e-06
126,0.0254,3.5242806e-06
127,0.0256,3.7435607e-06
128,0.025799999,3.423292e-06
129,0.025999999,3.7304173e-06
130,0.0262,3.4858933e-06
131,0.0264,3.4573247e-06
132,0.0266,3.4604057e-06
133,0.0268,3.3347558e-06
134,0.026999999,3.4492136e-06
135,0.027199998,3.2052913e-06
136,0.0274,3.4474735e-06
137,0.0276,3.230381e-06
138,0.0278,3.2010084e-06
139,0.027999999,3.1991317e-06
140,0.028199999,3.0590968e-06
141,0.0284,3.2057835e-06
142,0.0286,3.0446429e-06
143,0.0288,3.0278372e-06
144,0.029,2.9846865e-06
145,0.029199999,2.8774466e-06
146,0.029399998,2.999339e-06
147,0.0296,3.1851218e-06
148,0.0298,3.6173415e-06
149,0.03,3.8589296e-06
150,0.030199999,3.9367183e-06
151,0.030399999,4.5797833e-06
152,0.030599998,4.803592e-06
153,0.0308,3.3576365e-05
154,0.031,0.00048029487
155,0.0312,0.009070822
156,0.0314,0.014252359
157,0.0316,2.4925318e-06
158,0.031799998,1.1062252e-06
159,0.031999998,1.1482185e-06
160,0.032199997,1.1218415e-06
161,0.0324,1.1278908e-06
162,0.0326,1.1508255e-06
163,0.0328,1.1310965e-06
164,0.033,1.1380429e-06
165,0.0332,1.1473921e-06
166,0.0334,1.1338255e-06
167,0.0336,1.1412317e-06
168,0.0338,1.1418599e-06
169,0.033999998,1.1325515e-06
170,0.034199998,1.14197e-06
171,0.034399997,1.1371446e-06
172,0.0346,1.1300032e-06
173,0.0348,1.1409161e-06
174,0.035,1.1328474e-06
175,0.0352,1.1276434e-06
176,0.0354,1.1385314e-06
177,0.0356,1.1304279e-06
178,0.0358,1.1254602e-06
179,0.036,1.135204e-06
180,0.036199998,1.1307168e-06
181,0.036399998,1.1244325e-06
182,0.036599997,1.1315129e-06
183,0.0368,1.136337e-06
184,0.037,1.1256772e-06
185,0.0372,1.1288992e-06
186,0.0374,1.1481571e-06
187,0.0376,1.1297661e-06
188,0.0378,1.1278424e-06
189,0.038,1.1659133e-06
190,0.0382,1.1379648e-06
191,0.038399998,1.1430911e-06
192,0.038599998,1.1610643e-06
193,0.038799997,1.1517927e-06
194,0.039,1.1552723e-06
195,0.0392,1.1662381e-06
196,0.0394,1.1825267e-06
197,0.0396,1.1697568e-06
198,0.0398,1.1702076e-06
199,0.04,1.2176104e-06
200,0.0402,1.1345201e-06
201,0.0404,1.2322864e-06
