,right_borders,probs
128,0.025799999,7.191279e-05
129,0.025999999,7.180811e-05
130,0.0262,7.170249e-05
131,0.0264,7.165777e-05
132,0.0266,7.1575305e-05
133,0.0268,7.146427e-05
134,0.026999999,7.1456765e-05
135,0.027199998,7.126227e-05
136,0.0274,7.127858e-05
137,0.0276,7.1138755e-05
138,0.0278,7.111023e-05
139,0.027999999,7.094462e-05
140,0.028199999,7.095551e-05
141,0.0284,7.080588e-05
142,0.0286,7.0761256e-05
143,0.0288,7.070611e-05
144,0.029,7.056133e-05
145,0.029199999,7.0603026e-05
146,0.029399998,7.039762e-05
147,0.0296,7.041233e-05
148,0.0298,7.02986e-05
149,0.03,7.022084e-05
150,0.030199999,7.020277e-05
151,0.030399999,7.003065e-05
152,0.030599998,7.0111026e-05
153,0.0308,6.9880225e-05
154,0.031,6.9972666e-05
155,0.0312,0.0018390476
156,0.0314,0.0018550626
157,0.0316,0.001088083
158,0.031799998,0.00054224516
159,0.031999998,0.000539518
160,0.032199997,0.0005401559
161,0.0324,0.0005407819
162,0.0326,0.0005367216
163,0.0328,0.0005354729
164,0.033,0.00053687795
165,0.0332,0.0005254863
166,0.0334,0.00052405003
167,0.0336,0.0005146614
168,0.0338,0.0005024435
169,0.033999998,0.000501436
170,0.034199998,0.00048386387
171,0.034399997,0.000485117
172,0.0346,0.00047122847
173,0.0348,0.00031859012
174,0.035,0.00019112676
175,0.0352,0.00018846874
176,0.0354,0.00018855868
177,0.0356,0.00018516685
178,0.0358,0.0001854802
179,0.036,0.00018348292
180,0.036199998,0.00018182956
181,0.036399998,0.00018145068
182,0.036599997,0.00017847151
183,0.0368,0.00017887862
184,0.037,0.00017592727
185,0.0372,0.00017565527
186,0.0374,0.00017503918
187,0.0376,0.00017342389
188,0.0378,0.00017370516
189,0.038,0.00017135417
190,0.0382,0.00017070155
191,0.038399998,0.00017069493
192,0.038599998,0.00016889501
193,0.038799997,0.00017016119
194,0.039,0.00016748934
195,0.0392,0.00016817905
196,0.0394,0.00016672949
197,0.0396,0.00016458733
198,0.0398,0.00016716038
199,0.04,0.00016402273
200,0.0402,0.00016493748
201,0.0404,0.00016376816
202,0.040599998,0.00016346379
203,0.040799998,0.00016228056
204,0.040999997,0.0001623645
205,0.0412,0.00016231267
206,0.0414,0.00016231918
207,0.0416,0.0001612266
208,0.0418,0.00016205611
209,0.042,0.00016139456
210,0.0422,6.137072e-05
211,0.0424,6.144935e-05
212,0.0426,6.125028e-05
213,0.042799998,6.1198865e-05
214,0.042999998,6.1163766e-05
215,0.043199997,6.0795624e-05
216,0.043399997,6.0849394e-05
217,0.0436,6.0619324e-05
218,0.0438,6.044508e-05
219,0.044,6.0398088e-05
220,0.0442,6.020914e-05
221,0.0444,6.0162965e-05
222,0.0446,5.992561e-05
223,0.0448,5.9745147e-05
224,0.044999998,5.981932e-05
225,0.045199998,5.930426e-05
226,0.045399997,5.935459e-05
227,0.045599997,5.920365e-05
