right_borders,probs
0.067999996,0.0006928666
0.0682,0.0030178006
0.068399996,0.0005436777
0.0686,0.00019723295
0.068799995,0.0017802188
0.069,0.00059880514
0.0692,0.000495752
0.0694,0.00042989652
0.0696,0.00023509571
0.0698,0.00022973907
0.07,0.00026910397
0.070199996,0.000103066086
0.0704,6.0965016e-05
0.070599996,4.71271e-05
0.0708,3.824142e-05
0.070999995,3.3856082e-05
0.0712,2.8808357e-05
0.0714,2.3888684e-05
0.0716,2.021462e-05
0.0718,1.8533125e-05
0.072,1.785229e-05
0.0722,1.623852e-05
0.072399996,1.46383745e-05
0.0726,1.332862e-05
0.072799996,1.2539004e-05
0.073,1.19172455e-05
0.073199995,1.1411277e-05
0.0734,8.982938e-06
0.0736,6.3778325e-06
0.0738,6.0659536e-06
0.074,5.824787e-06
0.0742,5.6626864e-06
0.0744,5.4945754e-06
0.074599996,5.296407e-06
0.0748,5.1096035e-06
0.074999996,4.940463e-06
0.0752,4.7953663e-06
0.075399995,4.685823e-06
0.0756,4.4955423e-06
0.0758,4.4388644e-06
0.076,4.287652e-06
0.0762,4.132236e-06
0.0764,4.0604737e-06
0.0766,3.950509e-06
0.076799996,3.850977e-06
0.077,3.7591296e-06
0.077199996,3.6812291e-06
0.0774,3.600806e-06
0.077599995,3.4959369e-06
0.0778,3.6509693e-06
0.078,1.0788637e-05
0.0782,2.5892521e-05
0.0784,6.199327e-05
0.0786,0.0003000267
0.0788,0.00070709304
0.078999996,0.0003854556
0.0792,0.00036013266
0.079399996,0.00081354944
0.0796,0.00027886985
0.079799995,0.00025237547
0.08,0.014729966
0.0802,0.0041880053
0.0804,4.372329e-05
0.0806,2.9839563e-05
0.0808,2.733606e-05
0.081,2.8054113e-05
0.081199996,3.0382773e-05
0.0814,3.0256788e-05
0.081599995,2.8658467e-05
0.0818,2.847026e-05
0.081999995,2.8370652e-05
0.0822,3.3191816e-05
0.0824,3.6043053e-05
0.0826,3.324412e-05
0.0828,3.4865163e-05
0.083,3.8094728e-05
0.0832,3.4913777e-05
0.083399996,4.1166935e-05
0.0836,4.9263508e-05
0.083799995,5.0385464e-05
0.084,4.8109014e-05
0.084199995,3.9884762e-05
